accession	sample_title	breed	scientific_name	sex	center_name
SAMN09379789	108373116		Bos taurus	male	University of Alberta
SAMN09379790	464691973		Bos taurus	male	University of Alberta
SAMN09379791	108379102		Bos taurus	male	University of Alberta
SAMN09379792	108379084		Bos taurus	male	University of Alberta
SAMN09379793	108900412		Bos taurus	male	University of Alberta
SAMN09379794	108375661		Bos taurus	male	University of Alberta
SAMN09379796	108374527		Bos taurus	male	University of Alberta
SAMN09379797	248644953		Bos taurus	male	University of Alberta
SAMN09379798	108375934		Bos taurus	male	University of Alberta
SAMN09379799	431999031		Bos taurus	male	University of Alberta
SAMN09379800	584425709		Bos taurus	male	University of Alberta
SAMN09379801	395591972		Bos taurus	male	University of Alberta
SAMN09379802	108376824		Bos taurus	male	University of Alberta
SAMN09379803	108376406		Bos taurus	male	University of Alberta
SAMN09379804	438706929		Bos taurus	male	University of Alberta
SAMN09379805	108376175		Bos taurus	male	University of Alberta
SAMN09379806	458667570		Bos taurus	male	University of Alberta
SAMN09379807	108380674		Bos taurus	male	University of Alberta
SAMN09379810	62095851		Bos taurus	male	University of Alberta
SAMN09379811	108375676		Bos taurus	male	University of Alberta
SAMN09379813	108375150		Bos taurus	male	University of Alberta
SAMN09379815	108379293		Bos taurus	male	University of Alberta
SAMN09379816	108374463		Bos taurus	male	University of Alberta
SAMN09379818	391776854		Bos taurus	male	University of Alberta
SAMN09379819	395531399		Bos taurus	male	University of Alberta
SAMN09379820	462684894		Bos taurus	male	University of Alberta
SAMN09379821	108375721		Bos taurus	male	University of Alberta
SAMN09379822	859174281		Bos taurus	male	University of Alberta
SAMN09379823	108380539		Bos taurus	male	University of Alberta
SAMN09379824	108380729		Bos taurus	male	University of Alberta
SAMN09379825	108381674		Bos taurus	male	University of Alberta
SAMN09379826	587381826		Bos taurus	male	University of Alberta
SAMN09379827	115939986		Bos taurus	male	University of Alberta
SAMN09379828	526679924		Bos taurus	male	University of Alberta
SAMN09379829	493851609		Bos taurus	male	University of Alberta
SAMN09379831	430379643		Bos taurus	male	University of Alberta
SAMN09510408	950741921		Bos taurus	female	Teagasc
SAMN09510409	954580704		Bos taurus	male	Teagasc
SAMN09510410	967852371		Bos taurus	female	Teagasc
SAMN09510411	955682883		Bos taurus	male	Teagasc
SAMN09510423	347992724		Bos taurus	female	Teagasc
SAMEA4827646	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827647	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827648	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827649	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827650	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827651	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827652	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827653	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827654	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827655	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827656	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827657	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827658	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827659	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827660	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827661	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827662	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827663	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827664	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827665	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827666	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827667	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827668	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827669	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827670	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827671	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827672	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827673	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA4827674	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA19309168	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA19309918	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA19310668	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA19311418	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19312168	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19312918	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA19313668	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA19314418	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA19315168	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA19316668	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19317418	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19318168	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19318918	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA19320418	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19321168	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19321918	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19322668	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19323418	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA19846918	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19847668	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA19849168	Eringer	Eringer	Bos taurus		UNIBE-IG
SAMEA19849918	Scotish Highland Cattle	Scotish Highland	Bos taurus		UNIBE-IG
SAMEA19850668	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA19851418	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19852168	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA19852918	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA19853668	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA19864168	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19864918	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA19865668	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19866418	Limousin x Holstein	Limousin x Holstein	Bos taurus		UNIBE-IG
SAMEA19867168	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19867918	Limousin	Limousin	Bos taurus		UNIBE-IG
SAMEA19872418	Piemontese x Normande	Piemontese x Normande	Bos taurus		UNIBE-IG
SAMEA19873918	Scotish Highland Cattle	Scotish Highland Cattle	Bos taurus		UNIBE-IG
SAMEA19875418	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA19876168	Romagnola	Romagnola	Bos taurus		UNIBE-IG
SAMEA19876918	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA19877668	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA2357050	WGS of Tyrolean Grey cattle	Tyrolean Grey	Bos taurus		UNIBE-IG
SAMEA2821386	Epidermolysa bullosa in Danish Hereford calves is caused by a deletion in LAMC2 gene	Hereford	Bos taurus		UNIBE-IG
SAMEA2821387	DNA based diagnosis of rare diseases in veterinary medicine: A 4.4 kb deletion of ITGB4 causes epidermolysis bullosa in  cattle	Charolais	Bos taurus		UNIBE-IG
SAMEA3209361	Hairless stripes in cattle implicate TSR2 in early hair follicle formation		Bos taurus		UNIBE-IG
SAMEA3706827	Arthrogryposis multiplex congenita in a family of Red cattle	Aosta Red Pied	Bos taurus		UNIBE-IG
SAMEA3706828	Arthrogryposis multiplex congenita in a family of Red cattle	Aosta Red Pied	Bos taurus		UNIBE-IG
SAMEA3706829	Arthrogryposis multiplex congenita in a family of Red cattle	Aosta Red Pied	Bos taurus		UNIBE-IG
SAMEA4051548	Belted Galloway	Belted Galloway	Bos taurus		UNIBE-IG
SAMEA4051549	Galloway	Galloway	Bos taurus		UNIBE-IG
SAMEA4051550	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA4560535	Angus	Angus	Bos taurus		UNIBE-IG
SAMEA4560538	Eringer	Eringer	Bos taurus		UNIBE-IG
SAMEA4560539	Holstein x Simmental	Holstein x Simmental	Bos taurus		UNIBE-IG
SAMEA4560541	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA4560542	Holstein x Simmental	Holstein x Simmental	Bos taurus		UNIBE-IG
SAMEA4560543	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMN02225723	Generic sample from Bos taurus		Bos taurus		Seoul National University
SAMN02225734	Generic sample from Bos taurus		Bos taurus		Seoul National University
SAMN02225735	Generic sample from Bos taurus		Bos taurus		Seoul National University
SAMN08242176	Indian_Zebu_3	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242177	Indian_Zebu_4	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242223	Mangshi_Zebu_1	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242224	Mangshi_Zebu_2	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242225	Mangshi_Zebu_3	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242231	Mangshi_Zebu_9	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242232	Mangshi_Zebu_10	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMEA4827182	Eastern Finncattle	Eastern Finncattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827183	Eastern Finncattle	Eastern Finncattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827184	Eastern Finncattle	Eastern Finncattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827185	Eastern Finncattle	Eastern Finncattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827186	Eastern Finncattle	Eastern Finncattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827187	Western Fincattle	Western Fincattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827188	Western Fincattle	Western Fincattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827189	Western Fincattle	Western Fincattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827190	Western Fincattle	Western Fincattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827191	Western Fincattle	Western Fincattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827192	Yakutian cattle	Yakutian cattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827193	Yakutian cattle	Yakutian cattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827194	Yakutian cattle	Yakutian cattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827195	Yakutian cattle	Yakutian cattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA4827196	Yakutian cattle	Yakutian cattle	Bos taurus		Natural Resources Institute Finland (Luke)
SAMEA5415485	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA5415486	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA5415488	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA5415490	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA5415491	Belgium Blue	Belgium Blue	Bos taurus		UNIBE-IG
SAMEA5415492	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA5415493	Belgium Blue x Holstein	Belgium Blue x Holstein	Bos taurus		UNIBE-IG
SAMEA5415494	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA5415495	Belgium Blue x Holstein	Belgium Blue x Holstein	Bos taurus		UNIBE-IG
SAMEA5415496	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA5415497	Belgium Blue x Holstein	Belgium Blue x Holstein	Bos taurus		UNIBE-IG
SAMEA5415498	Brown Swiss	Brown Swiss	Bos taurus		UNIBE-IG
SAMEA5415499	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5415500	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA5415501	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA5415502	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA5564710	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564711	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564713	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564714	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564715	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564717	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564718	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564719	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564720	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564721	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564722	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564724	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564725	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5564726	Original Braunvieh	Braunvieh	Bos taurus		UNIBE-IG
SAMEA5564727	Original Braunvieh	Braunvieh	Bos taurus		UNIBE-IG
SAMEA5564729	Tyrolean Grey Cattle	Tyrolean Grey	Bos taurus		UNIBE-IG
SAMEA5564730	Tyrolean Grey Cattle	Tyrolean Grey	Bos taurus		UNIBE-IG
SAMEA5564731	Tyrolean Grey Cattle	Tyrolean Grey	Bos taurus		UNIBE-IG
SAMEA5564732	Tyrolean Grey Cattle	Tyrolean Grey	Bos taurus		UNIBE-IG
SAMEA5564733	Tyrolean Grey Cattle	Tyrolean Grey	Bos taurus		UNIBE-IG
SAMEA5564734	Tyrolean Grey Cattle	Tyrolean Grey	Bos taurus		UNIBE-IG
SAMEA5564735	Tyrolean Grey Cattle	Tyrolean Grey	Bos taurus		UNIBE-IG
SAMEA5564736	Tyrolean Grey Cattle	Tyrolean Grey	Bos taurus		UNIBE-IG
SAMEA5566449	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA5577008	SIKUNKU000000000005		Bos taurus		TRINITY COLLEGE DUBLIN
SAMEA5577009	LAGUNKM000000000040		Bos taurus		TRINITY COLLEGE DUBLIN
SAMEA5577010	Thar1		Bos indicus		TRINITY COLLEGE DUBLIN
SAMEA5577011	Sha_3b		Bos indicus		TRINITY COLLEGE DUBLIN
SAMEA5577012	WAGIRLM000000000001		Bos taurus		TRINITY COLLEGE DUBLIN
SAMEA5577149	HARINDF000000000003		Bos indicus		TRINITY COLLEGE DUBLIN
SAMEA5577150	HLAGBRM000000008059		Bos taurus		TRINITY COLLEGE DUBLIN
SAMEA5577151	SOMTGOF000000003437		Bos taurus		TRINITY COLLEGE DUBLIN
SAMEA5577153	ALNPRTM000000000012		Bos taurus		TRINITY COLLEGE DUBLIN
SAMEA5605818	SARTURM000000000001		Bos taurus		TRINITY COLLEGE DUBLIN
SAMEA5714982	BovineSperm		Bos taurus		UNIVERSITY MEDICAL CENTER UTRECHT
SAMEA4827933	BTAUD0009b_lo0001		Bos taurus	female	SC
SAMEA4827934	BTAUD0009b_lo0010		Bos taurus	female	SC
SAMEA4827939	BTAUD0009b_lo0015		Bos taurus	female	SC
SAMEA4827943	BTAUD0008b_lo0003		Bos taurus	female	SC
SAMEA4827944	BTAUD0008b_lo0004		Bos taurus	female	SC
SAMEA4827949	BTAUD0008b_lo0009		Bos taurus	female	SC
SAMEA4827951	BTAUD0008b_lo0011		Bos taurus	female	SC
SAMEA4827952	BTAUD0008b_lo0012		Bos taurus	female	SC
SAMEA4827958	BTAUD0009b_lo0003		Bos taurus	female	SC
SAMEA4827960	BTAUD0009b_lo0005		Bos taurus	female	SC
SAMEA4827969	BTAUD0006b_lo0005		Bos taurus	female	SC
SAMEA4827970	BTAUD0006b_lo0006		Bos taurus	female	SC
SAMEA4827973	BTAUD0006b_lo0009		Bos taurus	female	SC
SAMEA4827975	BTAUD0006b_lo0011		Bos taurus	female	SC
SAMEA4827982	BTAUD0006b_lo0015		Bos taurus	female	SC
SAMEA4888497	BTAUD0009d		Bos taurus		SC
SAMEA4888498	BTAUD0008d		Bos taurus		SC
SAMEA4888499	BTAUD0006d		Bos taurus		SC
SAMEA4560529	crossbred		Bos taurus		UNIBE-IG
SAMEA4560530	crossbred		Bos taurus		UNIBE-IG
SAMEA4560531	Angus	Angus	Bos taurus		UNIBE-IG
SAMEA4560533	Holstein x Simmental	Holstein x Simmental	Bos taurus		UNIBE-IG
SAMEA4560534	Simmental	Simmental	Bos taurus		UNIBE-IG
SAMEA4560537	Holstein x Simmental	Holstein x Simmental	Bos taurus		UNIBE-IG
SAMEA4560540	Holstein	Holstein	Bos taurus		UNIBE-IG
SAMEA6163175	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163176	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163177	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163178	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163179	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163180	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163181	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163182	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163183	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163184	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163186	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163188	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163190	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163191	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163194	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163196	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163197	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6163198	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMN08242229	Mangshi_Zebu_7	Zebu	Bos indicus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242323	Tibetan_Cattle_8	Tibetan	Bos taurus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242327	Tibetan_Cattle_12	Tibetan	Bos taurus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMN08242330	Tibetan_Cattle_15	Tibetan	Bos taurus		"Kunming Institute of Zoology, Chinese Academy of Sciences"
SAMEA5946758	Bovine osteogenesis imperfecta	Holstein	Bos taurus		UNIVERSITY OF GOETTINGEN
SAMEA5946759	Bovine osteogenesis imperfecta	Holstein	Bos taurus		UNIVERSITY OF GOETTINGEN
SAMEA6272082	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272083	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272084	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272085	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272086	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272087	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272088	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272089	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272090	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272091	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272092	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272093	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272094	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272095	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272096	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272097	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272098	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272099	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272100	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272101	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272102	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272103	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272104	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272105	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272106	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272107	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272108	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272109	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272110	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272111	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272112	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272113	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272114	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272115	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272116	Brown Swiss	Brown Swiss	Bos taurus		ETH ZURICH
SAMEA6272117	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272118	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272119	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272120	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272121	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272122	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272123	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272124	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272125	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272126	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272127	Original Braunvieh	Braunvieh	Bos taurus		ETH ZURICH
SAMEA6272128	Fleckvieh	Fleckvieh	Bos taurus		ETH ZURICH
SAMEA6272129	Fleckvieh	Fleckvieh	Bos taurus		ETH ZURICH
SAMEA6272132	Fleckvieh	Fleckvieh	Bos taurus		ETH ZURICH
SAMEA6272133	Fleckvieh	Fleckvieh	Bos taurus		ETH ZURICH
SAMEA6272134	Fleckvieh	Fleckvieh	Bos taurus		ETH ZURICH
SAMN03652922	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652923	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652924	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652925	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652926	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652927	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652928	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652929	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652930	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652931	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652932	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652933	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652934	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652935	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652936	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652937	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652938	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652939	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652940	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652941	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652942	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652943	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652944	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652945	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652946	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652947	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652948	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652949	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652950	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652951	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652952	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652953	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652954	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652955	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652956	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652957	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652958	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652959	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652960	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652961	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652962	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652963	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652964	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652965	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652966	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652967	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652968	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652969	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652970	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652971	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652972	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
SAMN03652973	Sample from Bos taurus		Bos taurus		Beijing Genome Institute
